 tDate, Country, Province, SchoolFlag, WorkplaceFlag, CancelPublicEventsFlag, RestrictionsOnGatheringsFlag, PublicTransportFlag, StayAtHomeFlag, RestrictionsOnInternalFlag, PublicInformationCampaignsFlag 
2021-09-23,Egypt,,,,,,,,,
2021-09-23,El Salvador,,,,,,,,,
2021-09-23,Eritrea,,,,1,1,1,1,,1
2021-09-23,Estonia,,1,,1,1,,,,1
2021-09-23,Eswatini,,1,1,1,1,1,1,1,1
2021-09-23,Ethiopia,,1,1,1,1,1,,,1
2021-09-23,Faeroe Islands,,,,,,,,,1
2021-09-23,Fiji,,,,,,,,,
2021-09-23,Finland,,1,0,0,0,,0,,1
2021-09-23,France,,1,1,1,1,1,,1,1
2021-09-23,Gabon,,,,,,,,,
2021-09-23,Gambia,,,,,,,,,1
2021-09-23,Georgia,,1,1,1,1,,,,1
2021-09-23,Germany,,1,1,1,1,1,1,,1
2021-09-23,Ghana,,,,,,,,,
2021-09-23,Greece,,,,,,,,,
2021-09-23,Greenland,,,,,,,,,
2021-09-23,Guam,,1,1,1,1,1,,,1
2021-09-23,Guatemala,,,,,,,,,
2021-09-23,Guinea,,,,,,,,,
2021-09-23,Guyana,,1,1,1,1,1,1,,1
2021-09-23,Haiti,,,,,,,,,
2021-09-23,Honduras,,,,,,,,,
2021-09-23,Hong Kong,,,,,,,,,
2021-09-23,Hungary,,,,,,,,,
2021-09-23,Iceland,,1,1,1,1,,,,1
2021-09-23,India,,,,,,,,,
2021-09-23,Indonesia,,0,0,0,0,0,0,0,1
2021-09-23,Iran,,,,,,,,,
2021-09-23,Iraq,,1,1,1,1,,1,1,1
2021-09-23,Ireland,,1,1,1,1,,1,,1
2021-09-23,Israel,,1,1,1,1,,,,1
2021-09-23,Italy,,1,1,1,0,1,0,0,1
2021-09-23,Jamaica,,1,1,1,1,1,1,1,1
2021-09-23,Japan,,0,0,1,0,,1,1,1
2021-09-23,Jordan,,,,,,,,,
2021-09-23,Kazakhstan,,1,1,1,0,0,1,0,1
2021-09-23,Kenya,,,0,0,0,,0,0,1
2021-09-23,Kiribati,,,,,,,,,
2021-09-23,Kosovo,,1,1,1,1,,1,,1
2021-09-23,Kuwait,,,,,,,,,
2021-09-23,Kyrgyz Republic,,,,,,,,,
2021-09-23,Laos,,,,,,,,,
2021-09-23,Latvia,,1,1,1,1,,,,1
2021-09-23,Lebanon,,,1,1,1,1,1,1,1
2021-09-23,Lesotho,,1,1,1,1,1,1,,1
2021-09-23,Liberia,,1,1,1,1,1,,,1
2021-09-23,Libya,,,,,,,,,
2021-09-23,Liechtenstein,,1,1,1,,,1,,
2021-09-23,Lithuania,,,,1,1,,,,1
2021-09-23,Luxembourg,,1,1,1,1,,,,1
2021-09-23,Macao,,,,,,,,,
2021-09-23,Madagascar,,,1,1,1,,0,,1
2021-09-23,Malawi,,,1,1,1,,,,1
2021-09-23,Malaysia,,1,1,1,,1,,0,
2021-09-23,Mali,,,,,,,,,
