 tDate, Country, Province, SchoolFlag, WorkplaceFlag, CancelPublicEventsFlag, RestrictionsOnGatheringsFlag, PublicTransportFlag, StayAtHomeFlag, RestrictionsOnInternalFlag, PublicInformationCampaignsFlag 
2022-05-26,Afghanistan,,,,,,,,,
2022-05-26,Albania,,,,,,,,,1
2022-05-26,Algeria,,,,,,,,,
2022-05-26,Andorra,,,,,,,,,
2022-05-26,Angola,,,1,1,,1,,1,1
2022-05-26,Argentina,,,,,,,,,
2022-05-26,Aruba,,,,,,,,,
2022-05-26,Australia,,,,,,,,,
2022-05-26,Australia,Australian Capital Territory,,,,,,,,
2022-05-26,Australia,New South Wales,,,,,,,,
2022-05-26,Australia,Northern Territory,,,,,,,,
2022-05-26,Australia,Queensland,,,,,,,,
2022-05-26,Australia,South Australia,,,,,,,,
2022-05-26,Australia,Tasmania,,,,,,,,
2022-05-26,Australia,Victoria,,,,,,,,
2022-05-26,Australia,Western Australia,,,,,,,,
2022-05-26,Austria,,0,1,1,1,,,,1
2022-05-26,Azerbaijan,,,,,,,,,
2022-05-26,Bahamas,,,,,,,,,
2022-05-26,Bahrain,,,,,,,,,
2022-05-26,Bangladesh,,1,1,1,,,1,,1
2022-05-26,Barbados,,,,,,,,,
2022-05-26,Belarus,,,,,,,,,
2022-05-26,Belgium,,,1,,,,,,1
2022-05-26,Belize,,,,,,,,,
2022-05-26,Benin,,,,,,,,,
2022-05-26,Bermuda,,,,,,,,,
2022-05-26,Bhutan,,,,,,,,,
2022-05-26,Bolivia,,0,1,,,,,,1
2022-05-26,Bosnia and Herzegovina,,,,,,,,,
2022-05-26,Botswana,,,,,,,,,1
2022-05-26,Brazil,,,,,,,,,
2022-05-26,Brazil,Acre,,,,,,,,
2022-05-26,Brazil,Alagoas,,,,,,,,
2022-05-26,Brazil,Amapa,,,,,,,,
2022-05-26,Brazil,Amazonas,,,,,,,,
2022-05-26,Brazil,Bahia,,,,,,,,
2022-05-26,Brazil,Ceara,,,,,,,,
2022-05-26,Brazil,Distrito Federal,,,,,,,,
2022-05-26,Brazil,Espirito Santo,,,,,,,,
2022-05-26,Brazil,Goias,,,,,,,,
