tDate,Country,Province,SchoolFlag,WorkplaceFlag,CancelPublicEventsFlag,RestrictionsOnGatheringsFlag,PublicTransportFlag,StayAtHomeFlag,RestrictionsOnInternalFlag,PublicInformationCampaignsFlag
2022-08-08,Australia,,,,,,,,,1
2022-08-08,Austria,,0,1,1,1,,,,1
2022-08-08,Belgium,,,1,,,,,,1
2022-08-08,Canada,,,,,,0,,,1
2022-08-08,Chile,,1,1,,0,,,,1
2022-08-08,China,,0,0,0,0,0,0,0,1
2022-08-08,Colombia,,0,1,,,,,,1
2022-08-08,Costa Rica,,,,,,,,,1
2022-08-08,Czechia,,,,,,,,,
2022-08-08,Denmark,,,,,,,,,1
2022-08-08,Estonia,,,,,,,,,1
2022-08-08,Finland,,1,1,,,1,,,1
2022-08-08,France,,,,,,,,,1
2022-08-08,Germany,,,,,,,1,,1
2022-08-08,Greece,,1,,,,,,,1
2022-08-08,Hungary,,,,,,,,,
2022-08-08,Iceland,,,,,,,,,1
2022-08-08,Ireland,,,,,,,,,1
2022-08-08,Israel,,1,,,,,,,1
2022-08-08,Italy,,1,1,,,,,,1
2022-08-08,Japan,,1,0,1,1,,1,1,1
2022-08-08,Latvia,,,,,,,,,1
2022-08-08,Lithuania,,,,,,,,,1
2022-08-08,Luxembourg,,,,,,,,,1
2022-08-08,Mexico,,1,0,1,,,,0,1
2022-08-08,Netherlands,,,,,,,,,1
2022-08-08,New Zealand,,,,,,,,,1
2022-08-08,Norway,,,,,,,,,1
2022-08-08,Poland,,1,,,,,,,1
2022-08-08,Portugal,,,,,,,,,1
2022-08-08,Slovakia,,,,,,,,,1
2022-08-08,Slovenia,,,,,,,,,1
2022-08-08,South Korea,,,,,,,,,1
2022-08-08,Spain,,,,0,0,,,,1
2022-08-08,Sweden,,,,,,,,,1
2022-08-08,Switzerland,,,,,,,,,1
2022-08-08,Taiwan,,1,1,,,,,,1
2022-08-08,Turkey,,,,,,,,,1
2022-08-08,United Kingdom,,,,,,,,,1
2022-08-08,United States,,0,0,,,0,0,,1
