tDate,T_YDTotal,[T_NewInoc,[T_TotalInoc,[1_YDTotal,[1_NewInoc,[1_TotalInoc,[1_Rate,[1_12y_Rate,[1_18y_Rate,[1_60y_Rate,[2_YDTotal,[2_NewInoc,[2_TotalInoc,[2_Rate,[2_12y_Rate,[2_18y_Rate,[2_60y_Rate,[3_YDTotal,[3_NewInoc,[3_TotalInoc,[3_Rate,[3_12y_Rate,[3_18y_Rate,[3_60y_Rate,[4_YDTotal,[4_YDTotal_60y,[4_NewInoc,[4_NewInoc_60y,[4_TotalInoc,[4_TotalInoc_60y,[4_Rate,[4_12y_Rate,[4_18y_Rate,[4_60y_Rate
2021-06-15,0,0,0,11833534,731735,12565269,24.5,0,0,0,3006290,256443,3262733,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-16,0,0,0,12602026,617181,13219207,25.7,0,0,0,3265037,207339,3472376,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-17,0,0,0,13250593,540248,13790841,26.9,0,0,0,3474112,280928,3755040,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-18,0,0,0,13820058,412987,14233045,27.7,0,0,0,3757067,127643,3884710,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-19,0,0,0,14261046,507319,14768365,28.8,0,0,0,3886535,126036,4012571,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-20,0,0,0,14800465,211990,15012455,29.2,0,0,0,4013089,33522,4046611,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-21,0,0,0,15014314,505,15014819,29.2,0,0,0,4046808,1038,4047846,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-22,0,0,0,15019767,20231,15039998,29.3,0,0,0,4051080,116453,4167533,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-23,0,0,0,15068519,30346,15098865,29.4,0,0,0,4168857,123415,4292272,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-24,0,0,0,15121636,28485,15150121,29.5,0,0,0,4294377,119117,4413494,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
