tDate,Area,Confirmeds,Deaths
2021-04-08,강원,7,0
2021-04-08,대전,25,0
2021-04-08,강원,7,0
2021-04-08,경기,230,1
2021-04-08,경남,11,1
2021-04-08,경북,11,0
2021-04-08,광주,0,0
2021-04-08,대구,10,0
2021-04-08,대전,25,0
2021-04-08,부산,52,0
2021-04-08,서울,244,0
2021-04-08,세종,7,0
2021-04-08,울산,13,0
2021-04-08,인천,25,0
2021-04-08,전남,1,0
2021-04-08,전북,24,0
2021-04-08,제주,5,0
2021-04-08,충남,20,0
2021-04-08,충북,8,0
2021-04-08,경기,230,1
2021-04-08,부산,52,0
2021-04-08,경북,11,0
2021-04-08,경남,11,1
2021-04-08,광주,0,0
2021-04-08,대구,10,0
2021-04-08,서울,244,0
2021-04-08,세종,7,0
2021-04-08,울산,13,0
2021-04-08,인천,25,0
2021-04-08,충북,8,0
2021-04-08,전남,1,0
2021-04-08,전북,24,0
2021-04-08,제주,5,0
2021-04-08,충남,20,0
2021-04-09,충남,18,0
2021-04-09,제주,2,0
2021-04-09,전북,22,0
2021-04-09,전남,11,0
2021-04-09,충북,7,0
2021-04-09,인천,45,0
2021-04-09,울산,9,0
2021-04-09,세종,5,0
2021-04-09,서울,215,3
2021-04-09,대구,18,0
2021-04-09,광주,5,0
2021-04-09,경남,15,0
2021-04-09,경북,7,0
2021-04-09,부산,53,0
2021-04-09,경기,203,3
2021-04-09,강원,3,0
2021-04-09,경기,203,3
2021-04-09,경남,15,0
2021-04-09,경북,7,0
2021-04-09,광주,5,0
2021-04-09,대구,18,0
2021-04-09,대전,26,0
2021-04-09,부산,53,0
2021-04-09,서울,215,3
2021-04-09,세종,5,0
2021-04-09,울산,9,0
2021-04-09,인천,45,0
2021-04-09,전남,11,0
2021-04-09,전북,22,0
2021-04-09,제주,2,0
2021-04-09,충남,18,0
2021-04-09,충북,7,0
2021-04-09,대전,26,0
2021-04-09,강원,3,0
2021-04-10,강원,6,0
2021-04-10,대전,13,0
2021-04-10,강원,6,0
2021-04-10,경기,202,0
2021-04-10,경남,46,0
2021-04-10,경북,26,0
2021-04-10,광주,1,0
2021-04-10,대구,5,0
2021-04-10,대전,13,0
2021-04-10,부산,56,1
2021-04-10,서울,201,0
2021-04-10,세종,4,0
2021-04-10,울산,25,0
2021-04-10,인천,24,0
2021-04-10,전남,7,0
2021-04-10,전북,23,0
2021-04-10,제주,7,0
2021-04-10,충남,15,0
2021-04-10,충북,12,0
2021-04-10,경기,202,0
2021-04-10,경북,26,0
2021-04-10,경남,46,0
2021-04-10,광주,1,0
2021-04-10,대구,5,0
2021-04-10,부산,56,1
2021-04-10,서울,201,0
2021-04-10,세종,4,0
2021-04-10,울산,25,0
2021-04-10,인천,24,0
2021-04-10,충북,12,0
2021-04-10,전남,7,0
2021-04-10,전북,23,0
2021-04-10,제주,7,0
2021-04-10,충남,15,0
2021-04-11,충남,22,1
2021-04-11,제주,7,0
2021-04-11,전북,40,0
2021-04-11,전남,6,0
2021-04-11,충북,10,0
2021-04-11,인천,17,0
2021-04-11,울산,11,0
2021-04-11,세종,1,0
2021-04-11,서울,214,0
2021-04-11,부산,45,0
2021-04-11,대구,6,0
2021-04-11,광주,0,0
2021-04-11,경남,16,0
2021-04-11,경북,13,0
2021-04-11,경기,186,2
2021-04-11,강원,5,0
2021-04-11,경기,186,2
2021-04-11,경남,16,0
2021-04-11,경북,13,0
2021-04-11,광주,0,0
2021-04-11,대구,6,0
2021-04-11,대전,7,0
2021-04-11,부산,45,0
2021-04-11,서울,214,0
2021-04-11,세종,1,0
2021-04-11,울산,11,0
2021-04-11,인천,17,0
2021-04-11,전남,6,0
2021-04-11,전북,40,0
2021-04-11,제주,7,0
2021-04-11,충남,22,1
2021-04-11,충북,10,0
2021-04-11,대전,7,0
2021-04-11,강원,5,0
2021-04-12,강원,6,0
2021-04-12,대전,17,0
2021-04-12,강원,6,0
2021-04-12,경기,176,1
2021-04-12,경남,17,0
2021-04-12,경북,15,0
2021-04-12,광주,4,0
2021-04-12,대구,16,0
2021-04-12,대전,17,0
2021-04-12,부산,47,0
2021-04-12,서울,162,1
2021-04-12,세종,5,0
2021-04-12,울산,34,0
2021-04-12,인천,12,0
2021-04-12,전남,3,0
2021-04-12,전북,24,0
2021-04-12,제주,3,0
2021-04-12,충남,18,0
2021-04-12,충북,20,0
2021-04-12,경기,176,1
2021-04-12,경북,15,0
2021-04-12,경남,17,0
2021-04-12,광주,4,0
2021-04-12,대구,16,0
2021-04-12,부산,47,0
2021-04-12,서울,162,1
2021-04-12,세종,5,0
2021-04-12,울산,34,0
2021-04-12,인천,12,0
2021-04-12,충북,20,0
2021-04-12,전남,3,0
2021-04-12,전북,24,0
2021-04-12,제주,3,0
2021-04-12,충남,18,0
2021-04-13,충남,14,0
2021-04-13,제주,0,0
2021-04-13,전북,25,0
2021-04-13,전남,6,0
2021-04-13,충북,8,0
2021-04-13,인천,16,0
2021-04-13,울산,32,0
2021-04-13,세종,2,0
2021-04-13,서울,158,2
2021-04-13,부산,39,0
2021-04-13,대구,9,1
2021-04-13,광주,9,0
2021-04-13,경남,15,0
2021-04-13,경북,10,0
2021-04-13,경기,168,2
2021-04-13,강원,13,0
2021-04-13,경기,168,2
2021-04-13,경남,15,0
2021-04-13,경북,10,0
2021-04-13,광주,9,0
2021-04-13,대구,9,1
2021-04-13,대전,13,0
2021-04-13,부산,39,0
2021-04-13,서울,158,2
2021-04-13,세종,2,0
2021-04-13,울산,32,0
2021-04-13,인천,16,0
2021-04-13,전남,6,0
2021-04-13,전북,25,0
2021-04-13,제주,0,0
2021-04-13,충남,14,0
2021-04-13,충북,8,0
2021-04-13,대전,13,0
2021-04-13,강원,13,0
2021-04-14,강원,6,1
2021-04-14,대전,11,0
2021-04-14,강원,6,1
2021-04-14,경기,238,3
2021-04-14,경남,27,0
2021-04-14,경북,14,0
2021-04-14,광주,5,0
2021-04-14,대구,11,0
2021-04-14,대전,11,0
2021-04-14,부산,49,0
2021-04-14,서울,247,1
2021-04-14,세종,2,0
2021-04-14,울산,30,0
2021-04-14,인천,26,0
2021-04-14,전남,1,2
2021-04-14,전북,11,0
2021-04-14,제주,2,0
2021-04-14,충남,10,0
2021-04-14,충북,29,0
2021-04-14,경기,238,3
2021-04-14,경북,14,0
2021-04-14,경남,27,0
2021-04-14,광주,5,0
2021-04-14,대구,11,0
2021-04-14,부산,49,0
2021-04-14,서울,247,1
2021-04-14,세종,2,0
2021-04-14,울산,30,0
2021-04-14,인천,26,0
2021-04-14,충북,29,0
2021-04-14,전남,1,2
2021-04-14,전북,11,0
2021-04-14,제주,2,0
2021-04-14,충남,10,0
2021-04-15,충남,4,0
2021-04-15,제주,3,0
2021-04-15,전북,16,0
2021-04-15,전남,11,0
2021-04-15,충북,20,0
2021-04-15,인천,17,0
2021-04-15,울산,21,0
2021-04-15,세종,3,0
2021-04-15,서울,217,2
2021-04-15,부산,54,0
2021-04-15,대구,18,0
2021-04-15,광주,4,0
2021-04-15,경남,24,0
2021-04-15,경북,19,1
2021-04-15,경기,224,2
2021-04-15,강원,18,1
2021-04-15,경기,224,2
2021-04-15,경남,24,0
2021-04-15,경북,19,1
2021-04-15,광주,4,0
2021-04-15,대구,18,0
2021-04-15,대전,10,0
2021-04-15,부산,54,0
2021-04-15,서울,217,2
2021-04-15,세종,3,0
2021-04-15,울산,21,0
2021-04-15,인천,17,0
2021-04-15,전남,11,0
2021-04-15,전북,16,0
2021-04-15,제주,3,0
2021-04-15,충남,4,0
2021-04-15,충북,20,0
2021-04-15,대전,10,0
2021-04-15,강원,18,1
2021-04-16,강원,7,0
2021-04-16,대전,6,0
2021-04-16,강원,7,0
2021-04-16,경기,221,0
2021-04-16,경남,44,0
2021-04-16,경북,24,0
2021-04-16,광주,11,0
2021-04-16,대구,4,0
2021-04-16,대전,6,0
2021-04-16,부산,44,0
2021-04-16,서울,216,2
2021-04-16,세종,3,0
2021-04-16,울산,24,0
2021-04-16,인천,12,0
2021-04-16,전남,6,0
2021-04-16,전북,15,0
2021-04-16,제주,3,0
2021-04-16,충남,13,0
2021-04-16,충북,9,0
2021-04-16,경기,221,0
2021-04-16,경북,24,0
2021-04-16,경남,44,0
2021-04-16,광주,11,0
2021-04-16,대구,4,0
2021-04-16,부산,44,0
2021-04-16,서울,216,2
2021-04-16,세종,3,0
2021-04-16,울산,24,0
2021-04-16,인천,12,0
2021-04-16,충북,9,0
2021-04-16,전남,6,0
2021-04-16,전북,15,0
2021-04-16,제주,3,0
2021-04-16,충남,13,0
2021-04-17,충남,7,0
2021-04-17,제주,1,0
2021-04-17,전북,16,0
2021-04-17,전남,6,0
2021-04-17,충북,12,0
2021-04-17,인천,23,0
2021-04-17,울산,26,0
2021-04-17,세종,0,0
2021-04-17,서울,217,1
2021-04-17,부산,35,1
2021-04-17,대구,12,0
2021-04-17,광주,4,0
2021-04-17,경남,38,0
2021-04-17,경북,29,0
2021-04-17,경기,209,2
2021-04-17,강원,12,0
2021-04-17,경기,209,2
2021-04-17,경남,38,0
2021-04-17,경북,29,0
2021-04-17,광주,4,0
2021-04-17,대구,12,0
2021-04-17,대전,4,0
2021-04-17,부산,35,1
2021-04-17,서울,217,1
2021-04-17,세종,0,0
2021-04-17,울산,26,0
2021-04-17,인천,23,0
2021-04-17,전남,6,0
2021-04-17,전북,16,0
2021-04-17,제주,1,0
2021-04-17,충남,7,0
2021-04-17,충북,12,0
2021-04-17,대전,4,0
2021-04-17,강원,12,0
2021-04-18,강원,19,0
2021-04-18,대전,5,0
2021-04-18,강원,19,0
2021-04-18,경기,184,2
2021-04-18,경남,67,0
2021-04-18,경북,28,0
2021-04-18,광주,13,0
2021-04-18,대구,13,0
2021-04-18,대전,5,0
2021-04-18,부산,31,0
2021-04-18,서울,205,0
2021-04-18,세종,2,0
2021-04-18,울산,21,0
2021-04-18,인천,19,0
2021-04-18,전남,2,0
2021-04-18,전북,21,0
2021-04-18,제주,1,0
2021-04-18,충남,22,0
2021-04-18,충북,10,1
2021-04-18,경기,184,2
2021-04-18,경북,28,0
2021-04-18,경남,67,0
2021-04-18,광주,13,0
2021-04-18,대구,13,0
2021-04-18,부산,31,0
2021-04-18,서울,205,0
2021-04-18,세종,2,0
2021-04-18,울산,21,0
2021-04-18,인천,19,0
2021-04-18,충북,10,1
2021-04-18,전남,2,0
2021-04-18,전북,21,0
2021-04-18,제주,1,0
2021-04-18,충남,22,0
2021-04-19,충남,13,0
2021-04-19,제주,2,0
2021-04-19,전북,16,0
2021-04-19,전남,3,0
2021-04-19,충북,10,1
2021-04-19,인천,11,0
2021-04-19,울산,28,0
2021-04-19,세종,1,0
2021-04-19,서울,137,0
2021-04-19,부산,26,0
2021-04-19,대구,24,0
2021-04-19,광주,11,0
2021-04-19,경남,35,0
2021-04-19,경북,19,0
2021-04-19,경기,146,3
2021-04-19,강원,21,0
2021-04-19,경기,146,3
2021-04-19,경남,35,0
2021-04-19,경북,19,0
2021-04-19,광주,11,0
2021-04-19,대구,24,0
2021-04-19,대전,21,0
2021-04-19,부산,26,0
2021-04-19,서울,137,0
2021-04-19,세종,1,0
2021-04-19,울산,28,0
2021-04-19,인천,11,0
2021-04-19,전남,3,0
2021-04-19,전북,16,0
2021-04-19,제주,2,0
2021-04-19,충남,13,0
2021-04-19,충북,10,1
2021-04-19,대전,21,0
2021-04-19,강원,21,0
2021-04-20,강원,18,0
2021-04-20,강원,18,0
2021-04-20,대전,8,0
2021-04-20,대전,8,0
2021-04-20,강원,18,0
2021-04-20,강원,18,0
2021-04-20,경기,189,1
2021-04-20,경기,189,0
2021-04-20,경남,29,0
2021-04-20,경남,29,0
2021-04-20,경북,21,0
2021-04-20,경북,21,0
2021-04-20,광주,4,0
2021-04-20,광주,4,0
2021-04-20,대구,15,0
2021-04-20,대구,15,0
2021-04-20,대전,8,0
2021-04-20,대전,8,0
2021-04-20,부산,29,0
2021-04-20,부산,29,0
2021-04-20,서울,148,0
2021-04-20,서울,148,0
2021-04-20,세종,1,0
2021-04-20,세종,1,0
2021-04-20,울산,21,0
2021-04-20,울산,21,0
2021-04-20,인천,18,0
2021-04-20,인천,18,0
2021-04-20,전남,4,0
2021-04-20,전남,4,0
2021-04-20,전북,3,0
2021-04-20,전북,3,0
2021-04-20,제주,1,0
2021-04-20,제주,1,0
2021-04-20,충남,16,0
2021-04-20,충남,16,0
2021-04-20,충북,14,0
2021-04-20,충북,14,0
2021-04-20,경기,189,1
2021-04-20,경기,189,0
2021-04-20,경북,21,0
2021-04-20,경북,21,0
2021-04-20,경남,29,0
2021-04-20,경남,29,0
2021-04-20,광주,4,0
2021-04-20,광주,4,0
2021-04-20,대구,15,0
2021-04-20,대구,15,0
2021-04-20,부산,29,0
2021-04-20,부산,29,0
2021-04-20,서울,148,0
2021-04-20,서울,148,0
2021-04-20,세종,1,0
2021-04-20,세종,1,0
2021-04-20,울산,21,0
2021-04-20,울산,21,0
2021-04-20,인천,18,0
2021-04-20,인천,18,0
2021-04-20,충북,14,0
2021-04-20,충북,14,0
2021-04-20,전남,4,0
2021-04-20,전남,4,0
2021-04-20,전북,3,0
2021-04-20,전북,3,0
2021-04-20,제주,1,0
2021-04-20,제주,1,0
2021-04-20,충남,16,0
2021-04-20,충남,16,0
2021-04-21,충남,8,0
2021-04-21,제주,7,0
2021-04-21,전북,8,1
2021-04-21,전남,4,0
2021-04-21,충북,20,1
2021-04-21,인천,15,0
2021-04-21,울산,39,0
2021-04-21,세종,1,0
2021-04-21,서울,218,0
2021-04-21,부산,33,0
2021-04-21,대구,25,0
2021-04-21,광주,17,0
2021-04-21,경남,41,0
2021-04-21,경북,16,0
2021-04-21,경기,234,2
2021-04-21,강원,15,0
2021-04-21,경기,234,2
2021-04-21,경남,41,0
2021-04-21,경북,16,0
2021-04-21,광주,17,0
2021-04-21,대구,25,0
2021-04-21,대전,17,0
2021-04-21,부산,33,0
2021-04-21,서울,218,0
2021-04-21,세종,1,0
2021-04-21,울산,39,0
2021-04-21,인천,15,0
2021-04-21,전남,4,0
2021-04-21,전북,8,1
2021-04-21,제주,7,0
2021-04-21,충남,8,0
2021-04-21,충북,20,1
2021-04-21,대전,17,0
2021-04-21,강원,15,0
2021-04-22,강원,24,0
2021-04-22,대전,13,0
2021-04-22,강원,24,0
2021-04-22,경기,222,1
2021-04-22,경남,58,0
2021-04-22,경북,23,0
2021-04-22,광주,9,0
2021-04-22,대구,24,0
2021-04-22,대전,13,0
2021-04-22,부산,37,0
2021-04-22,서울,230,0
2021-04-22,세종,1,0
2021-04-22,울산,32,0
2021-04-22,인천,14,1
2021-04-22,전남,8,0
2021-04-22,전북,6,0
2021-04-22,제주,4,0
2021-04-22,충남,6,0
2021-04-22,충북,19,0
2021-04-22,경기,222,1
2021-04-22,경북,23,0
2021-04-22,경남,58,0
2021-04-22,광주,9,0
2021-04-22,대구,24,0
2021-04-22,부산,37,0
2021-04-22,서울,230,0
2021-04-22,세종,1,0
2021-04-22,울산,32,0
2021-04-22,인천,14,1
2021-04-22,충북,19,0
2021-04-22,전남,8,0
2021-04-22,전북,6,0
2021-04-22,제주,4,0
2021-04-22,충남,6,0
2021-04-23,충남,10,0
2021-04-23,제주,3,0
2021-04-23,전북,9,0
2021-04-23,전남,6,0
2021-04-23,충북,30,0
2021-04-23,인천,10,0
2021-04-23,울산,38,0
2021-04-23,세종,3,0
2021-04-23,서울,204,1
2021-04-23,부산,33,0
