tDate,AllFisrt,AllSecond,AZFirst,AZSecond,PZFirst,PZSecond,JJFirst,MNFirst
2021-06-11,11432321,2876802,7720852,712580,3256728,1709481,454741,0
2021-06-12,11821304,2995985,7978259,713384,3274101,1713657,568944,0
2021-06-13,11849163,3007964,7993674,713399,3274780,1713856,580709,0
2021-06-14,12618520,3266699,8553487,734186,3312396,1779876,752637,0
2021-06-15,13265501,3475852,9037415,758519,3363046,1852293,865040,0
2021-06-16,13833849,3758620,9381330,781389,3409795,1934507,1042724,0
2021-06-17,14276145,3887802,9744226,803403,3463440,2015920,1068479,0
2021-06-18,14811960,4015323,10188220,824587,3524478,2091474,1099262,0
2021-06-19,15028202,4051205,10376504,826314,3533426,2106619,1118272,0
2021-06-20,15028815,4052341,10376515,826315,3533607,2107333,1118693,0
2021-06-21,15074813,4169658,10379099,841047,3573268,2206740,1121871,575
2021-06-22,15121636,4294377,10382016,858014,3613813,2312030,1124333,1474
2021-06-23,15150121,4413494,10384423,872819,3636252,2415314,1125361,4085
