tDate,YesterdaySum,YesterdayPositivityConfirmed,YesterdayPositivityQuarantineRelease,YesterdayPositivityInQuarantine,YesterdayPositivityDead,YesterdayInspection,YesterdayNegative,TodaySum,TodayPositivityConfirmed,TodayPositivityQuarantineRelease,TodayPositivityInQuarantine,TodayPositivityDead,TodayInspection,TodayNegative,VarianceSum,VariancePositivityConfirmed,VariancePositivityQuarantineRelease,VariancePositivityInQuarantine,VariancePositivityDead,VarianceInspection,VarianceNegative
2020-03-20,307024,8565,1947,6527,91,15904,282555,316664,8652,2233,6325,94,15525,292487,9640,87,286,-202,3,-379,9932
2020-03-21,316664,8652,2233,6325,94,15525,292487,327509,8799,2612,6085,102,15704,303006,10845,147,379,-240,8,179,10519
2020-03-22,327509,8799,2612,6085,102,15704,303006,331780,8897,2909,5884,104,14540,308343,4271,98,297,-201,2,-1164,5337
2020-03-23,331780,8897,2909,5884,104,14540,308343,338036,8961,3166,5684,111,13628,315447,6256,64,257,-200,7,-912,7104
2020-03-24,338036,8961,3166,5684,111,13628,315447,348582,9037,3507,5410,120,15440,324105,10546,76,341,-274,9,1812,8658
2020-03-25,348582,9037,3507,5410,120,15440,324105,357896,9137,3730,5281,126,14278,334481,9314,100,223,-129,6,-1162,10376
2020-03-26,357896,9137,3730,5281,126,14278,334481,364942,9241,4144,4966,131,14369,341332,7046,104,414,-315,5,91,6851
2020-03-27,364942,9241,4144,4966,131,14369,341332,376961,9332,4528,4665,139,15219,352410,12019,91,384,-301,8,850,11078
2020-03-28,376961,9332,4528,4665,139,15219,352410,387925,9478,4811,4523,144,16564,361883,10964,146,283,-142,5,1345,9473
2020-03-29,387925,9478,4811,4523,144,16564,361883,394141,9583,5033,4398,152,15028,369530,6216,105,222,-125,8,-1536,7647
2020-03-30,394141,9583,5033,4398,152,15028,369530,395194,9661,5228,4275,158,13531,372002,1053,78,195,-123,6,-1497,2472
2020-03-31,395194,9661,5228,4275,158,13531,372002,410564,9786,5408,4216,162,16892,383886,15370,125,180,-59,4,3361,11884
2020-04-01,410564,9786,5408,4216,162,16892,383886,421547,9887,5567,4155,165,16585,395075,10983,101,159,-61,3,-307,11189
2020-04-02,421547,9887,5567,4155,165,16585,395075,431743,9976,5828,3979,169,17885,403882,10196,89,261,-176,4,1300,8807
2020-04-03,431743,9976,5828,3979,169,17885,403882,443273,10062,6021,3867,174,18908,414303,11530,86,193,-112,5,1023,10421
2020-04-04,443273,10062,6021,3867,174,18908,414303,455032,10156,6325,3654,177,20144,424732,11759,94,304,-213,3,1236,10429
2020-04-05,455032,10156,6325,3654,177,20144,424732,461233,10237,6463,3591,183,19571,431425,6201,81,138,-63,6,-573,6693
2020-04-06,461233,10237,6463,3591,183,19571,431425,466804,10284,6598,3500,186,19295,437225,5571,47,135,-91,3,-276,5800
2020-04-07,466804,10284,6598,3500,186,19295,437225,477304,10331,6694,3445,192,20650,446323,10500,47,96,-55,6,1355,9098
2020-04-08,477304,10331,6694,3445,192,20650,446323,486003,10384,6776,3408,200,17858,457761,8699,53,82,-37,8,-2792,11438
2020-04-09,486003,10384,6776,3408,200,17858,457761,494711,10423,6973,3246,204,15509,468779,8708,39,197,-162,4,-2349,11018
2020-04-10,494711,10423,6973,3246,204,15509,468779,503051,10450,7117,3125,208,15298,477303,8340,27,144,-121,4,-211,8524
2020-04-11,503051,10450,7117,3125,208,15298,477303,510479,10480,7243,3026,211,14070,485929,7428,30,126,-99,3,-1228,8626
2020-04-12,510479,10480,7243,3026,211,14070,485929,514621,10512,7368,2930,214,13788,490321,4142,32,125,-96,3,-282,4392
2020-04-13,514621,10512,7368,2930,214,13788,490321,518743,10537,7447,2873,217,13391,494815,4122,25,79,-57,3,-397,4494
2020-04-14,518743,10537,7447,2873,217,13391,494815,527438,10564,7534,2808,222,14651,502223,8695,27,87,-65,5,1260,7408
2020-04-15,527438,10564,7534,2808,222,14651,502223,534552,10591,7616,2750,225,15026,508935,7114,27,82,-58,3,375,6712
2020-04-16,534552,10591,7616,2750,225,15026,508935,538775,10613,7757,2627,229,14268,513894,4223,22,141,-123,4,-758,4959
2020-04-17,538775,10613,7757,2627,229,14268,513894,546463,10635,7829,2576,230,14186,521642,7688,22,72,-51,1,-82,7748
2020-04-18,546463,10635,7829,2576,230,14186,521642,554834,10653,7937,2484,232,13550,530631,8371,18,108,-92,2,-636,8989
2020-04-19,554834,10653,7937,2484,232,13550,530631,559109,10661,8042,2385,234,12243,536205,4275,8,105,-99,2,-1307,5574
2020-04-20,559109,10661,8042,2385,234,12243,536205,563035,10674,8114,2324,236,11981,540380,3926,13,72,-61,2,-262,4175
2020-04-21,563035,10674,8114,2324,236,11981,540380,571014,10683,8213,2233,237,12721,547610,7979,9,99,-91,1,740,7230
2020-04-22,571014,10683,8213,2233,237,12721,547610,577959,10694,8277,2179,238,12121,555144,6945,11,64,-54,1,-600,7534
2020-04-23,577959,10694,8277,2179,238,12121,555144,583971,10702,8411,2051,240,10139,563130,6012,8,134,-128,2,-1982,7986
2020-04-24,583971,10702,8411,2051,240,10139,563130,589520,10708,8501,1967,240,9600,569212,5549,6,90,-84,0,-539,6082
2020-04-25,589520,10708,8501,1967,240,9600,569212,595161,10718,8635,1843,240,9259,575184,5641,10,134,-124,0,-341,5972
2020-04-26,595161,10718,8635,1843,240,9259,575184,598285,10728,8717,1769,242,8999,578558,3124,10,82,-74,2,-260,3374
2020-04-27,598285,10728,8717,1769,242,8999,578558,601660,10738,8764,1731,243,8895,582027,3375,10,47,-38,1,-104,3469
