tDate,Country,Province1,Province2,Confirmed,Deaths,AccConfirmed,AccDeaths
2020-02-08,China,Anhui,,68,0,733,0
2020-02-08,China,Beijing,,18,1,315,2
2020-02-08,China,Chongqing,,2,0,428,2
2020-02-08,China,Fujian,,15,0,239,0
2020-02-08,China,Gansu,,12,1,79,1
2020-02-08,China,Guangdong,,61,0,1095,1
2020-02-08,China,Guangxi,,11,0,183,0
2020-02-08,China,Guizhou,,8,0,89,1
2020-02-08,China,Hainan,,7,0,124,2
2020-02-08,China,Hebei,,23,0,195,1
2020-02-08,China,Heilongjiang,,18,2,295,5
2020-02-08,China,Henan,,67,1,981,4
2020-02-08,China,Hubei,,2147,81,27100,780
2020-02-08,China,Hunan,,31,1,803,1
2020-02-08,China,Inner Mongolia,,2,0,52,0
2020-02-08,China,Jiangsu,,31,0,439,0
2020-02-08,China,Jiangxi,,37,0,698,0
2020-02-08,China,Jilin,,4,0,69,1
2020-02-08,China,Liaoning,,6,0,105,0
2020-02-08,China,Ningxia,,2,0,45,0
2020-02-08,China,Shaanxi,,11,0,195,0
2020-02-08,China,Shandong,,30,0,416,0
2020-02-08,China,Shanghai,,9,0,286,1
2020-02-08,China,Shanxi,,11,0,115,0
2020-02-08,China,Sichuan,,20,0,364,1
2020-02-08,China,Tianjin,,7,0,88,1
2020-02-08,China,Unknown,,0,0,0,0
2020-02-08,China,Xinjiang,,3,0,42,0
2020-02-08,China,Yunnan,,0,0,138,0
2020-02-08,China,Zhejiang,,42,0,1048,0
2020-02-08,France,,,0,0,11,0
2020-02-08,New Zealand,Cook Islands,,0,0,0,0
2020-02-08,Taiwan,Taiwan,,1,0,17,0
