tDate,Country,Province1,Province2,Confirmed,Deaths,AccConfirmed,AccDeaths
2020-01-27,Australia,New South Wales,,0,0,4,0
2020-01-27,Australia,Victoria,,0,0,1,0
2020-01-27,Canada,Ontario,,0,0,1,0
2020-01-27,China,Anhui,,10,0,70,0
2020-01-27,China,Beijing,,12,1,80,1
2020-01-27,China,Chongqing,,35,0,110,0
2020-01-27,China,Fujian,,24,0,59,0
2020-01-27,China,Gansu,,7,0,14,0
2020-01-27,China,Guangdong,,40,0,151,0
2020-01-27,China,Guangxi,,10,0,46,0
2020-01-27,China,Guizhou,,2,0,7,0
2020-01-27,China,Hainan,,11,1,33,1
2020-01-27,China,Hebei,,5,0,18,1
2020-01-27,China,Heilongjiang,,6,0,21,1
2020-01-27,China,Henan,,45,0,128,1
2020-01-27,China,Hubei,,365,24,1423,76
2020-01-27,China,Hunan,,31,0,100,0
2020-01-27,China,Inner Mongolia,,4,0,11,0
2020-01-27,China,Jiangsu,,14,0,47,0
2020-01-27,China,Jiangxi,,36,0,72,0
2020-01-27,China,Jilin,,2,0,6,0
2020-01-27,China,Liaoning,,6,0,27,0
2020-01-27,China,Ningxia,,3,0,7,0
2020-01-27,China,Qinghai,,5,0,6,0
2020-01-27,China,Shaanxi,,13,0,35,0
2020-01-27,China,Shandong,,29,0,75,0
2020-01-27,China,Shanghai,,13,0,53,1
2020-01-27,China,Shanxi,,4,0,13,0
2020-01-27,China,Sichuan,,25,0,69,0
2020-01-27,China,Tianjin,,9,0,23,0
2020-01-27,China,Unknown,,0,0,0,0
2020-01-27,China,Xinjiang,,1,0,5,0
2020-01-27,China,Yunnan,,10,0,26,0
2020-01-27,China,Zhejiang,,24,0,128,0
2020-01-27,France,,,0,0,3,0
2020-01-27,Japan,,,0,0,4,0
2020-01-27,New Zealand,Cook Islands,,0,0,0,0
2020-01-27,South Korea,,,1,0,4,0
2020-01-27,Taiwan,Taiwan,,1,0,5,0
2020-01-27,United States,Arizona,,0,0,1,0
2020-01-27,United States,California,,0,0,2,0
2020-01-27,United States,Illinois,,0,0,1,0
2020-01-27,United States,Washington,,0,0,1,0
