tDate,Country,Province1,Province2,Confirmed,Deaths,AccConfirmed,AccDeaths
2020-02-23,China,Anhui,,0,0,989,6
2020-02-23,China,Beijing,,0,0,399,4
2020-02-23,China,Chongqing,,2,0,575,6
2020-02-23,China,Fujian,,0,0,293,1
2020-02-23,China,Gansu,,0,0,91,2
2020-02-23,China,Guangdong,,3,1,1342,6
2020-02-23,China,Guangxi,,0,0,249,2
2020-02-23,China,Guizhou,,0,0,146,2
2020-02-23,China,Hainan,,0,1,168,5
2020-02-23,China,Hebei,,2,0,311,6
2020-02-23,China,Heilongjiang,,1,0,480,12
2020-02-23,China,Henan,,1,0,1271,19
2020-02-23,China,Hubei,,0,0,64084,2346
2020-02-23,China,Hunan,,3,0,1016,4
2020-02-23,China,Inner Mongolia,,0,0,75,0
2020-02-23,China,Jiangsu,,0,0,631,0
2020-02-23,China,Jiangxi,,0,0,934,1
2020-02-23,China,Jilin,,0,0,91,1
2020-02-23,China,Liaoning,,0,0,121,1
2020-02-23,China,Ningxia,,0,0,71,0
2020-02-23,China,Qinghai,,0,0,18,0
2020-02-23,China,Shaanxi,,0,0,245,1
2020-02-23,China,Shandong,,4,0,754,4
2020-02-23,China,Shanghai,,0,0,335,3
2020-02-23,China,Shanxi,,0,0,132,0
2020-02-23,China,Sichuan,,0,0,526,3
2020-02-23,China,Tianjin,,0,0,135,3
2020-02-23,China,Tibet,,0,0,1,0
2020-02-23,China,Unknown,,0,0,0,0
2020-02-23,China,Xinjiang,,0,0,76,2
2020-02-23,China,Yunnan,,0,0,174,2
2020-02-23,China,Zhejiang,,0,0,1205,1
2020-02-23,Italy,,,93,1,155,3
2020-02-23,Japan,,,25,0,147,1
2020-02-23,New Zealand,Cook Islands,,0,0,0,0
2020-02-23,South Korea,,,169,4,602,6
2020-02-23,Taiwan,Taiwan,,2,0,28,1
