tDate,Country,Province1,Province2,Confirmed,Deaths,AccConfirmed,AccDeaths
2020-03-12,Austria,,,56,1,302,1
2020-03-12,Canada,British Columbia,,7,0,46,1
2020-03-12,Canada,Ontario,,1,0,42,0
2020-03-12,Canada,Quebec,,6,0,33,0
2020-03-12,China,Beijing,,0,0,435,8
2020-03-12,China,Chongqing,,0,0,576,6
2020-03-12,China,Guangdong,,0,0,1356,8
2020-03-12,China,Guangxi,,0,0,252,2
2020-03-12,China,Guizhou,,0,0,146,2
2020-03-12,China,Hainan,,0,0,168,6
2020-03-12,China,Hebei,,318,6,318,6
2020-03-12,China,Heilongjiang,,0,0,482,13
2020-03-12,China,Hong Kong,,3,0,129,3
2020-03-12,China,Hubei,,8,10,67781,3056
2020-03-12,China,Hunan,,0,0,1018,4
2020-03-12,China,Jiangsu,,0,0,631,0
2020-03-12,China,Jiangxi,,0,0,935,1
2020-03-12,China,Jilin,,0,0,93,1
2020-03-12,China,Liaoning,,0,0,125,1
2020-03-12,China,Shaanxi,,0,1,245,2
2020-03-12,China,Shandong,,0,0,760,6
2020-03-12,China,Shanghai,,0,0,344,3
2020-03-12,China,Shanxi,,0,0,133,0
2020-03-12,China,Sichuan,,0,0,539,3
2020-03-12,China,Tianjin,,0,0,136,3
2020-03-12,China,Unknown,,0,0,0,0
2020-03-12,China,Zhejiang,,0,0,1215,1
2020-03-12,Costa Rica,,,9,0,22,0
2020-03-12,Czechia,,,3,0,94,0
2020-03-12,Denmark,Denmark,,173,0,615,0
2020-03-12,Germany,,,170,0,2078,3
2020-03-12,Iceland,,,18,0,103,0
2020-03-12,Israel,,,22,0,112,0
2020-03-12,Japan,,,0,1,639,16
2020-03-12,Luxembourg,,,12,0,19,0
2020-03-12,Mexico,,,4,0,12,0
2020-03-12,New Zealand,Cook Islands,,0,0,0,0
2020-03-12,Norway,,,104,0,702,0
2020-03-12,Poland,,,18,1,49,1
2020-03-12,Slovakia,,,6,0,16,0
2020-03-12,Slovenia,,,32,0,89,0
2020-03-12,South Korea,,,114,6,7869,66
2020-03-12,Spain,,,0,1,2277,55
2020-03-12,Sweden,,,99,0,599,1
2020-03-12,Taiwan,,,1,0,49,1
2020-03-12,United States,Arkansas,,5,0,6,0
2020-03-12,United States,California,,44,1,221,4
2020-03-12,United States,Colorado,,11,0,45,0
2020-03-12,United States,Connecticut,,2,0,5,0
2020-03-12,United States,Florida,,7,0,35,2
2020-03-12,United States,Georgia,,8,1,31,1
2020-03-12,United States,Illinois,,7,0,32,0
2020-03-12,United States,Indiana,,2,0,13,0
2020-03-12,United States,Iowa,,3,0,16,0
2020-03-12,United States,Kentucky,,2,0,10,0
2020-03-12,United States,Louisiana,,13,0,19,0
2020-03-12,United States,Maryland,,3,0,12,0
2020-03-12,United States,Massachusetts,,13,0,108,0
2020-03-12,United States,Minnesota,,4,0,9,0
2020-03-12,United States,Mississippi,,1,0,1,0
2020-03-12,United States,Nebraska,,5,0,10,0
2020-03-12,United States,Nevada,,7,0,14,0
2020-03-12,United States,New Hampshire,,1,0,6,0
2020-03-12,United States,New Jersey,,6,0,29,1
2020-03-12,United States,New Mexico,,2,0,5,0
2020-03-12,United States,New York,,108,0,328,0
2020-03-12,United States,North Carolina,,8,0,15,0
2020-03-12,United States,North Dakota,,0,0,1,0
2020-03-12,United States,Ohio,,1,0,5,0
2020-03-12,United States,Oregon,,5,0,24,0
2020-03-12,United States,Pennsylvania,,6,0,22,0
2020-03-12,United States,South Carolina,,2,0,12,0
2020-03-12,United States,Tennessee,,9,0,18,0
2020-03-12,United States,Texas,,6,0,27,0
2020-03-12,United States,Utah,,2,0,5,0
2020-03-12,United States,Vermont,,1,0,2,0
2020-03-12,United States,Virginia,,8,0,17,0
2020-03-12,United States,Washington,,76,2,442,31
2020-03-12,United States,Wisconsin,,2,0,8,0
2020-03-12,United States,Wyoming,,1,0,1,0
