tDate,Country,Province1,Province2,Confirmed,Deaths,AccConfirmed,AccDeaths
2020-03-20,Australia,Australian Capital Territory,,2,0,6,0
2020-03-20,Australia,New South Wales,,46,1,353,6
2020-03-20,Australia,Northern Territory,,0,0,3,0
2020-03-20,Australia,Queensland,,40,0,184,0
2020-03-20,Australia,South Australia,,8,0,50,0
2020-03-20,Australia,Western Australia,,12,0,64,1
2020-03-20,Austria,,,375,0,2388,6
2020-03-20,Belgium,,,462,16,2257,37
2020-03-20,Canada,Alberta,,27,1,146,1
2020-03-20,Canada,British Columbia,,40,1,271,8
2020-03-20,Canada,Grand Princess,,1,0,10,0
2020-03-20,Canada,Newfoundland and Labrador,,1,0,4,0
2020-03-20,Canada,Nova Scotia,,1,0,15,0
2020-03-20,Canada,Ontario,,51,1,308,2
2020-03-20,Canada,Quebec,,129,1,371,4
2020-03-20,Canada,Saskatchewan,,4,0,20,0
2020-03-20,Chile,,,196,0,434,0
2020-03-20,China,Beijing,,11,0,491,8
2020-03-20,China,Fujian,,0,0,299,1
2020-03-20,China,Gansu,,0,0,134,2
2020-03-20,China,Guangdong,,17,0,1395,8
2020-03-20,China,Guangxi,,1,0,254,2
2020-03-20,China,Heilongjiang,,1,0,484,13
2020-03-20,China,Hong Kong,,48,0,256,4
2020-03-20,China,Hubei,,0,3,67800,3133
2020-03-20,China,Liaoning,,1,1,126,2
2020-03-20,China,Shaanxi,,1,0,247,3
2020-03-20,China,Shandong,,1,0,762,7
2020-03-20,China,Shanghai,,8,0,371,3
2020-03-20,China,Sichuan,,1,0,541,3
2020-03-20,China,Tianjin,,0,0,137,3
2020-03-20,China,Unknown,,0,0,0,0
2020-03-20,China,Zhejiang,,1,0,1234,1
2020-03-20,Colombia,,,26,0,128,0
2020-03-20,Costa Rica,,,20,0,89,1
2020-03-20,Czechia,,,139,0,833,0
2020-03-20,Denmark,Denmark,,104,3,1255,9
2020-03-20,Denmark,Faroe Islands,,8,0,80,0
2020-03-20,Estonia,,,16,0,283,0
2020-03-20,Finland,,,50,0,450,0
2020-03-20,France,France,,1741,207,12612,450
2020-03-20,France,French Polynesia,,5,0,11,0
2020-03-20,Germany,,,4528,23,19848,67
2020-03-20,Greece,,,77,0,495,6
2020-03-20,Hungary,,,12,2,85,3
2020-03-20,Iceland,,,79,-1,409,0
2020-03-20,Ireland,,,126,0,683,3
2020-03-20,Israel,,,168,1,804,1
