tDate,Country,Province1,Province2,Confirmed,Deaths,AccConfirmed,AccDeaths
2020-02-25,Austria,None,,0,0,2,0
2020-02-25,Canada,British Columbia,,1,0,7,0
2020-02-25,China,Anhui,,0,0,989,6
2020-02-25,China,Beijing,,1,0,400,4
2020-02-25,China,Chongqing,,0,0,576,6
2020-02-25,China,Fujian,,1,0,294,1
2020-02-25,China,Guangdong,,2,1,1347,7
2020-02-25,China,Guangxi,,1,0,252,2
2020-02-25,China,Guizhou,,0,0,146,2
2020-02-25,China,Hainan,,0,0,168,5
2020-02-25,China,Hebei,,0,0,311,6
2020-02-25,China,Heilongjiang,,0,0,480,12
2020-02-25,China,Henan,,0,0,1271,19
2020-02-25,China,Hubei,,499,68,64786,2563
2020-02-25,China,Hunan,,0,0,1016,4
2020-02-25,China,Inner Mongolia,,0,0,75,0
2020-02-25,China,Jiangsu,,0,0,631,0
2020-02-25,China,Jiangxi,,0,0,934,1
2020-02-25,China,Jilin,,0,0,93,1
2020-02-25,China,Liaoning,,0,0,121,1
2020-02-25,China,Ningxia,,0,0,71,0
2020-02-25,China,Shaanxi,,0,0,245,1
2020-02-25,China,Shandong,,1,1,756,6
2020-02-25,China,Shanghai,,1,0,336,3
2020-02-25,China,Shanxi,,0,0,133,0
2020-02-25,China,Sichuan,,2,0,529,3
2020-02-25,China,Tianjin,,0,0,135,3
2020-02-25,China,Unknown,,0,0,0,0
2020-02-25,China,Yunnan,,0,0,174,2
2020-02-25,China,Zhejiang,,0,0,1205,1
2020-02-25,France,,,0,0,14,1
2020-02-25,Germany,,,1,0,17,0
2020-02-25,Italy,,,93,3,322,10
2020-02-25,Japan,,,11,0,170,1
2020-02-25,New Zealand,Cook Islands,,0,0,0,0
2020-02-25,South Korea,,,144,2,977,10
2020-02-25,Spain,,,0,0,6,0
2020-02-25,Switzerland,,,0,0,1,0
2020-02-25,Taiwan,Taiwan,,1,0,31,1
2020-02-25,United States,Tempe AZ,,0,0,1,0
2020-02-25,United States,Unassigned Location (From Diamond Princess),,0,0,36,0
