tDate,Country,Province1,Province2,Confirmed,Deaths,AccConfirmed,AccDeaths
2020-02-03,China,Anhui,,68,0,408,0
2020-02-03,China,Beijing,,21,0,212,1
2020-02-03,China,Chongqing,,37,0,337,2
2020-02-03,China,Fujian,,20,0,179,0
2020-02-03,China,Gansu,,4,0,55,0
2020-02-03,China,Guangdong,,93,0,725,0
2020-02-03,China,Guangxi,,16,0,127,0
2020-02-03,China,Guizhou,,8,0,46,0
2020-02-03,China,Hainan,,8,0,72,1
2020-02-03,China,Hebei,,9,0,113,1
2020-02-03,China,Heilongjiang,,26,0,121,2
2020-02-03,China,Henan,,73,0,566,2
2020-02-03,China,Hubei,,2345,64,13522,414
2020-02-03,China,Hunan,,58,0,521,0
2020-02-03,China,Inner Mongolia,,7,0,34,0
2020-02-03,China,Jiangsu,,35,0,271,0
2020-02-03,China,Jiangxi,,58,0,391,0
2020-02-03,China,Jilin,,8,0,31,0
2020-02-03,China,Liaoning,,4,0,74,0
2020-02-03,China,Ningxia,,3,0,31,0
2020-02-03,China,Qinghai,,2,0,13,0
2020-02-03,China,Shaanxi,,12,0,128,0
2020-02-03,China,Shandong,,29,0,259,0
2020-02-03,China,Shanghai,,21,0,203,1
2020-02-03,China,Shanxi,,8,0,74,0
2020-02-03,China,Sichuan,,23,0,254,1
2020-02-03,China,Tianjin,,12,0,60,0
2020-02-03,China,Unknown,,0,0,0,0
2020-02-03,China,Xinjiang,,3,0,24,0
2020-02-03,China,Yunnan,,12,0,117,0
2020-02-03,China,Zhejiang,,63,0,724,0
2020-02-03,Germany,,,2,0,12,0
2020-02-03,New Zealand,Cook Islands,,0,0,0,0
2020-02-03,United States,San Benito CA,,0,0,2,0
2020-02-03,United States,Santa Clara CA,,1,0,2,0
