tDate,Country,Province,Confirmed,Deaths,AccConfirmed,AccDeaths
2020-03-22,Australia,Australian Capital Territory,10,0,19,0
2020-03-22,Australia,External territories,0,0,0,0
2020-03-22,Australia,Jervis Bay Territory,0,0,0,0
2020-03-22,Australia,New South Wales,233,0,669,6
2020-03-22,Australia,Northern Territory,2,0,5,0
2020-03-22,Australia,Queensland,38,0,259,0
2020-03-22,Australia,South Australia,33,0,100,0
2020-03-22,Australia,Tasmania,6,0,22,0
2020-03-22,Australia,Victoria,67,0,296,0
2020-03-22,Australia,Western Australia,30,0,120,1
2020-03-22,Austria,,766,8,3580,16
2020-03-22,Belgium,,586,8,3401,75
2020-03-22,Canada,Alberta,64,0,259,1
2020-03-22,Canada,British Columbia,0,0,424,10
2020-03-22,Canada,Diamond Princess,0,0,0,1
2020-03-22,Canada,Grand Princess,3,0,13,0
2020-03-22,Canada,Manitoba,2,0,20,0
2020-03-22,Canada,New Brunswick,0,0,17,0
2020-03-22,Canada,Newfoundland and Labrador,3,0,9,0
2020-03-22,Canada,Northwest Territories,0,0,1,0
2020-03-22,Canada,Nova Scotia,7,0,28,0
2020-03-22,Canada,Nunavut,0,0,0,0
2020-03-22,Canada,Ontario,48,2,425,5
2020-03-22,Canada,Prince Edward Island,1,0,3,0
2020-03-22,Canada,Quebec,238,0,795,5
2020-03-22,Canada,Saskatchewan,26,0,52,0
2020-03-22,Chile,,95,1,632,1
2020-03-22,China,Beijing,10,0,514,8
2020-03-22,China,Chongqing,0,0,577,6
2020-03-22,China,Fujian,4,0,307,1
2020-03-22,China,Gansu,2,0,136,2
2020-03-22,China,Guangdong,7,0,1407,8
2020-03-22,China,Hebei,0,0,319,6
2020-03-22,China,Heilongjiang,0,0,484,13
2020-03-22,China,Hong Kong,44,0,317,4
2020-03-22,China,Hubei,0,5,67800,3144
2020-03-22,China,Jiangsu,0,0,633,0
2020-03-22,China,Jiangxi,0,0,936,1
2020-03-22,China,Liaoning,0,0,126,2
2020-03-22,China,Macau,2,0,20,0
2020-03-22,China,Shandong,2,0,766,7
2020-03-22,China,Shanghai,14,1,394,4
2020-03-22,China,Sichuan,1,0,543,3
2020-03-22,China,Unknown,0,0,0,0
2020-03-22,China,Zhejiang,1,0,1237,1
2020-03-22,Colombia,,35,2,231,2
2020-03-22,Costa Rica,,17,0,134,2
2020-03-22,Czechia,,125,1,1120,1
2020-03-22,Denmark,,0,0,1395,13
2020-03-22,Denmark,Faroe Islands,23,0,115,0
2020-03-22,Denmark,Greenland,2,0,4,0
2020-03-22,Estonia,,20,0,326,0
2020-03-22,Finland,,103,0,626,1
2020-03-22,France,,0,0,16533,674
2020-03-22,France,French Guiana,18,0,18,0
2020-03-22,France,French Polynesia,0,0,15,0
2020-03-22,France,Guadeloupe,56,1,56,1
2020-03-22,France,Martinique,0,0,37,1
2020-03-22,France,Mayotte,11,0,11,0
2020-03-22,France,New Caledonia,0,0,4,0
2020-03-22,France,Reunion,47,0,47,0
2020-03-22,France,Saint Barthelemy,0,0,3,0
2020-03-22,France,St Martin,1,0,5,0
2020-03-22,Germany,,2660,10,24873,94
2020-03-22,Greece,,94,2,624,15
2020-03-22,Hungary,,28,2,131,6
2020-03-22,Iceland,,95,0,568,1
2020-03-22,Ireland,,121,1,906,4
2020-03-22,Israel,,254,0,1268,1
2020-03-22,Italy,,5560,651,59138,5476
2020-03-22,Japan,,79,1,1086,36
2020-03-22,Latvia,,15,0,139,0
2020-03-22,Lithuania,,28,0,97,0
2020-03-22,Luxembourg,,128,0,798,8
2020-03-22,Mexico,,48,0,251,2
2020-03-22,Netherlands,,0,0,4204,179
2020-03-22,Netherlands,Aruba,4,0,9,0
2020-03-22,Netherlands,Curacao,0,0,3,1
2020-03-22,Netherlands,Sint Maarten,0,0,1,0
2020-03-22,New Zealand,,50,0,102,0
2020-03-22,New Zealand,Cook Islands,0,0,0,0
2020-03-22,Norway,,145,0,2263,7
2020-03-22,Poland,,98,2,634,7
2020-03-22,Portugal,,320,2,1600,14
2020-03-22,Slovakia,,7,-1,185,0
2020-03-22,Slovenia,,31,1,414,2
2020-03-22,South Korea,,98,2,8897,104
2020-03-22,Spain,,3229,381,28603,1756
2020-03-22,Sweden,,168,1,1931,21
2020-03-22,Switzerland,,899,23,7474,98
2020-03-22,Taiwan,,16,0,169,2
2020-03-22,Turkey,,566,21,1236,30
2020-03-22,United Kingdom,,0,0,5683,281
2020-03-22,United Kingdom,Bermuda,0,0,2,0
2020-03-22,United Kingdom,Cayman Islands,0,0,3,1
2020-03-22,United Kingdom,Channel Islands,0,0,32,0
2020-03-22,United Kingdom,Gibraltar,5,0,15,0
2020-03-22,United Kingdom,Isle of Man,4,0,5,0
2020-03-22,United Kingdom,Montserrat,0,0,1,0
2020-03-22,United Kingdom,Saint Helena_ Ascension and Tristan da Cunha,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,2,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,1,0
2020-03-22,United States,Alabama,0,0,2,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,3,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,6,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,1,0
2020-03-22,United States,Alabama,0,0,78,0
2020-03-22,United States,Alabama,0,0,1,0
2020-03-22,United States,Alabama,0,0,2,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,16,0
2020-03-22,United States,Alabama,0,0,1,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,22,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,1,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,3,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,3,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
2020-03-22,United States,Alabama,0,0,0,0
