tDate,Country,Province1,Province2,Confirmed,Deaths,AccConfirmed,AccDeaths
2020-03-21,Australia,Australian Capital Territory,,3,0,9,0
2020-03-21,Australia,New South Wales,,83,0,436,6
2020-03-21,Australia,Queensland,,37,0,221,0
2020-03-21,Australia,South Australia,,17,0,67,0
2020-03-21,Australia,Tasmania,,6,0,16,0
2020-03-21,Australia,Victoria,,108,0,229,0
2020-03-21,Australia,Western Australia,,26,0,90,1
2020-03-21,Austria,,,426,2,2814,8
2020-03-21,Belgium,,,558,30,2815,67
2020-03-21,Canada,Alberta,,49,0,195,1
2020-03-21,Canada,British Columbia,,153,2,424,10
2020-03-21,Canada,Manitoba,,1,0,18,0
2020-03-21,Canada,New Brunswick,,6,0,17,0
2020-03-21,Canada,Newfoundland and Labrador,,2,0,6,0
2020-03-21,Canada,Northwest Territories,,0,0,1,0
2020-03-21,Canada,Nova Scotia,,6,0,21,0
2020-03-21,Canada,Ontario,,69,1,377,3
2020-03-21,Canada,Quebec,,186,1,557,5
2020-03-21,Canada,Saskatchewan,,6,0,26,0
2020-03-21,Chile,,,103,0,537,0
2020-03-21,China,Beijing,,13,0,504,8
2020-03-21,China,Fujian,,4,0,303,1
2020-03-21,China,Gansu,,0,0,134,2
2020-03-21,China,Guangdong,,5,0,1400,8
2020-03-21,China,Hong Kong,,17,0,273,4
2020-03-21,China,Hubei,,0,6,67800,3139
2020-03-21,China,Macau,,1,0,18,0
2020-03-21,China,Shaanxi,,1,0,248,3
2020-03-21,China,Shandong,,2,0,764,7
2020-03-21,China,Shanghai,,9,0,380,3
2020-03-21,China,Sichuan,,1,0,542,3
2020-03-21,China,Unknown,,0,0,0,0
2020-03-21,China,Zhejiang,,2,0,1236,1
2020-03-21,Colombia,,,68,0,196,0
2020-03-21,Costa Rica,,,28,1,117,2
2020-03-21,Czechia,,,162,0,995,0
2020-03-21,Denmark,Denmark,,71,4,1326,13
2020-03-21,Denmark,Faroe Islands,,12,0,92,0
2020-03-21,Estonia,,,23,0,306,0
2020-03-21,Finland,,,73,1,523,1
2020-03-21,France,France,,1670,112,14282,562
2020-03-21,France,French Polynesia,,4,0,15,0
2020-03-21,France,New Caledonia,,2,0,4,0
2020-03-21,Germany,,,2365,17,22213,84
2020-03-21,Greece,,,35,7,530,13
2020-03-21,Hungary,,,18,1,103,4
2020-03-21,Iceland,,,64,1,473,1
2020-03-21,Ireland,,,102,0,785,3
2020-03-21,Israel,,,210,0,1014,1
2020-03-21,Italy,,,6557,793,53578,4825
2020-03-21,Japan,,,44,2,1007,35
2020-03-21,Latvia,,,13,0,124,0
2020-03-21,Lithuania,,,22,0,69,0
2020-03-21,Luxembourg,,,186,4,670,8
2020-03-21,Mexico,,,39,1,203,2
2020-03-21,Netherlands,Netherlands,,637,30,3631,136
2020-03-21,New Zealand,,,13,0,52,0
2020-03-21,New Zealand,Cook Islands,,0,0,0,0
2020-03-21,Norway,,,204,0,2118,7
2020-03-21,Poland,,,111,0,536,5
2020-03-21,Portugal,,,260,6,1280,12
2020-03-21,Slovakia,,,41,0,178,1
2020-03-21,Slovenia,,,42,0,383,1
2020-03-21,South Korea,,,147,8,8799,102
2020-03-21,Spain,,,4964,332,25374,1375
2020-03-21,Sweden,,,124,4,1763,20
2020-03-21,Switzerland,,,1281,21,6575,75
2020-03-21,Taiwan,,,18,0,153,2
2020-03-21,Turkey,,,311,5,670,9
2020-03-21,United Kingdom,Bermuda,,0,0,2,0
2020-03-21,United Kingdom,Channel Islands,,18,0,32,0
2020-03-21,United Kingdom,United Kingdom,,1035,56,5018,233
2020-03-21,United States,Alabama,,48,0,131,0
2020-03-21,United States,Alaska,,3,0,15,0
2020-03-21,United States,Arizona,,40,1,118,1
2020-03-21,United States,Arkansas,,26,0,122,0
2020-03-21,United States,California,,187,1,1364,24
2020-03-21,United States,Colorado,,27,0,390,4
2020-03-21,United States,Connecticut,,0,1,194,4
2020-03-21,United States,Delaware,,7,0,45,0
2020-03-21,United States,District of Columbia,,27,0,98,1
2020-03-21,United States,Florida,,96,3,659,13
